Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA Healthcare Service,Chrome 118.0.0.0,,,2023-11-09 14:17:47,2023-11-09 14:29:36,11m - 48.119s,FAILED
,,,,,,,
Test Cases/CURA-LogIn,Chrome 118.0.0.0,,,2023-11-09 14:17:48,2023-11-09 14:17:58,10.301s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-09 14:17:48,2023-11-09 14:17:52,4.329s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 118.0.0.0,,,2023-11-09 14:17:52,2023-11-09 14:17:54,1.697s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 118.0.0.0,,,2023-11-09 14:17:54,2023-11-09 14:17:55,0.662s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 118.0.0.0,,,2023-11-09 14:17:55,2023-11-09 14:17:55,0.561s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 118.0.0.0,,,2023-11-09 14:17:55,2023-11-09 14:17:56,0.790s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 118.0.0.0,,,2023-11-09 14:17:56,2023-11-09 14:17:56,0.419s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 118.0.0.0,,,2023-11-09 14:17:56,2023-11-09 14:17:57,0.576s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 118.0.0.0,,,2023-11-09 14:17:57,2023-11-09 14:17:57,0.400s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""), ""Logout"")",Chrome 118.0.0.0,,,2023-11-09 14:17:57,2023-11-09 14:17:58,0.470s,PASSED
,,,,,,,
Test Cases/CURA-LogOut,Chrome 118.0.0.0,,,2023-11-09 14:17:58,2023-11-09 14:18:09,10.901s,PASSED
"callTestCase(findTestCase(""CURA-LogIn""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-09 14:17:58,2023-11-09 14:18:07,9.240s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Chrome 118.0.0.0,,,2023-11-09 14:18:07,2023-11-09 14:18:08,0.573s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 118.0.0.0,,,2023-11-09 14:18:08,2023-11-09 14:18:08,0.130s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 118.0.0.0,,,2023-11-09 14:18:08,2023-11-09 14:18:08,0.386s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""), ""Login"")",Chrome 118.0.0.0,,,2023-11-09 14:18:08,2023-11-09 14:18:09,0.431s,PASSED
,,,,,,,
Test Cases/CURA-Verify-Address,Chrome 118.0.0.0,,,2023-11-09 14:18:29,2023-11-09 14:18:36,6.784s,FAILED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-09 14:18:29,2023-11-09 14:18:32,3.452s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 118.0.0.0,,,2023-11-09 14:18:32,2023-11-09 14:18:34,1.970s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Atlanta 550 Pharr Road NE Suite 525Atlant_8f4c85""), ""Atlanta 550 Pharr Road NE Suite 525Atlanta, GA 30305"")",Chrome 118.0.0.0,,,2023-11-09 14:18:34,2023-11-09 14:18:36,1.344s,FAILED
,,,,,,,
Test Cases/CURA-Verify-Email,Chrome 118.0.0.0,,,2023-11-09 14:18:36,2023-11-09 14:18:42,5.941s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-09 14:18:36,2023-11-09 14:18:39,3.498s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 118.0.0.0,,,2023-11-09 14:18:39,2023-11-09 14:18:41,1.658s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_infokatalon.com""), ""info@katalon.com"")",Chrome 118.0.0.0,,,2023-11-09 14:18:41,2023-11-09 14:18:41,0.445s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-09 14:18:41,2023-11-09 14:18:42,0.239s,PASSED
